;Eh oui un arbre;;;;;;;;;;;;
;cout;tps(ms);valide ?;;;;;;;;;;
;;;;;;879;;;879;;;;0
;;;;;;Instance : KEP_p100_n5_k3_l7;;;Instance : KEP_p100_n5_k3_l7;;;;#VALEUR!
;;;;;;52966;;;52995;;;;-29
;;;;;;Instance : KEP_p100_n5_k3_l7;;;Instance : KEP_p100_n5_k3_l7;;;;#VALEUR!
;;;;;;52966;;;52995;;;;-29
;;;;;;Instance : KEP_p100_n5_k5_l17;;;Instance : KEP_p100_n5_k5_l17;;;;#VALEUR!
;;;;;;177636;;;177818;;;;-182
;;;;;;Instance : KEP_p100_n5_k5_l17;;;Instance : KEP_p100_n5_k5_l17;;;;#VALEUR!
;;;;;;177636;;;177818;;;;-182
;;;;;;Instance : KEP_p18_n0_k4_l0;;;Instance : KEP_p18_n0_k4_l0;;;;#VALEUR!
;;;;;;0;;;0;;;;0
;;;;;;Instance : KEP_p18_n0_k4_l0;;;Instance : KEP_p18_n0_k4_l0;;;;#VALEUR!
;;;;;;0;;;0;;;;0
;;;;;;Instance : KEP_p18_n2_k4_l4;;;Instance : KEP_p18_n2_k4_l4;;;;#VALEUR!
;;;;;;48;;;48;;;;0
;;;;;;Instance : KEP_p18_n2_k4_l4;;;Instance : KEP_p18_n2_k4_l4;;;;#VALEUR!
;;;;;;48;;;48;;;;0
;;;;;;Instance : KEP_p250_n0_k3_l0;;;Instance : KEP_p250_n0_k3_l0;;;;#VALEUR!
;;;;;;0;;;0;;;;0
;;;;;;Instance : KEP_p250_n0_k3_l0;;;Instance : KEP_p250_n0_k3_l0;;;;#VALEUR!
;;;;;;0;;;0;;;;0
;;;;;;Instance : KEP_p250_n13_k3_l13;;;Instance : KEP_p250_n13_k3_l13;;;;#VALEUR!
